method,iter,K,budget,NMI,aRand,purity,numclusters,time,trueclusters
nbc2,2,0,0,0.720789297966192,0.33923998564469,0.977,66,0.06824,12
bapd,2,0,0,0.20038699499474,0.00506249486215633,0.389,30,0.066236,12
seed,2,0,0,0.591747677418511,0.094036254890891,0.877,86,0.057193,12
gpbi,2,4,2000,0.927929334001165,0.935766223483696,0.966,13,1.349154,12
nbc2,3,0,0,0.748229769998348,0.341154608112423,0.991,64,0.068823,12
bapd,3,0,0,0.217490896173626,0.00108642613683851,0.43,47,0.130403,12
seed,3,0,0,0.612523389752113,0.111893956947348,0.901,80,0.056303,12
gpbi,3,4,2000,0.967733605432489,0.979888822459634,0.987,12,1.323432,12
nbc2,4,0,0,0.783256876784067,0.423072688576738,0.998,55,0.068395,12
bapd,4,0,0,0.24614731863685,0.0343103460810009,0.45,39,0.10499,12
seed,4,0,0,0.64486066441687,0.129791745727038,0.935,71,0.055797,12
gpbi,4,4,2000,0.991192034947513,0.993296108182907,0.997,12,1.308568,12
nbc2,5,0,0,0.781240254288105,0.423323052890925,1,61,0.067894,12
bapd,5,0,0,0.256072702902603,0.00790132136794961,0.457,42,0.145898,12
seed,5,0,0,0.661147747827096,0.153233478027787,0.946,67,0.054255,12
gpbi,5,4,2000,0.99501429430021,0.996741956447668,0.998,12,1.294029,12
nbc2,6,0,0,0.79940372094726,0.526384198435157,0.999,57,0.068235,12
bapd,6,0,0,0.295278279663587,0.0184805713988127,0.514,60,0.213307,12
seed,6,0,0,0.682970730033981,0.186079274077366,0.954,60,0.053064,12
gpbi,6,4,2000,1,1,1,12,1.296246,12
nbc2,7,0,0,0.775622467657432,0.371191103809605,1,57,0.07016,12
bapd,7,0,0,0.324508257403347,0.005498888528053,0.533,47,0.197511,12
seed,7,0,0,0.672174332507503,0.171176016827382,0.953,57,0.05293,12
gpbi,7,4,2000,0.998454023391797,0.998908872673157,1,13,1.290268,12
nbc2,8,0,0,0.806100647670984,0.487164306366375,1,53,0.068458,12
bapd,8,0,0,0.303707226469002,0.0301537553852674,0.505,55,0.211284,12
seed,8,0,0,0.684969090091795,0.186378232405612,0.96,54,0.052683,12
gpbi,8,4,2000,0.996216186027986,0.996600601351244,1,13,1.290608,12
nbc2,9,0,0,0.810813255534862,0.479317164679604,1,47,0.06926,12
bapd,9,0,0,0.296133899637659,0.0241721628613907,0.482,48,0.182822,12
seed,9,0,0,0.700066087923349,0.211670161790822,0.963,50,0.052121,12
gpbi,9,4,2000,1,1,1,12,1.28304,12
nbc2,10,0,0,0.797764031161337,0.461910663488551,1,51,0.068065,12
bapd,10,0,0,0.298951873915883,0.0205336650337329,0.482,48,0.194584,12
seed,10,0,0,0.702929861799842,0.225762130887267,0.963,48,0.05133,12
gpbi,10,4,2000,1,1,1,12,1.284894,12
nbc2,11,0,0,0.805845925343675,0.491896746450787,1,54,0.06814,12
bapd,11,0,0,0.318325288810594,0.0296509705605404,0.477,54,0.242535,12
seed,11,0,0,0.718112298984792,0.252724339686108,0.966,43,0.050707,12
gpbi,11,4,2000,1,1,1,12,1.280702,12
nbc2,12,0,0,0.85176271403759,0.628731553240331,1,42,0.068279,12
bapd,12,0,0,0.332512519546468,0.0339925064045825,0.494,59,0.261449,12
seed,12,0,0,0.7245036800177,0.268183220699202,0.967,42,0.050703,12
gpbi,12,4,2000,1,1,1,12,1.278186,12
nbc2,13,0,0,0.850392138483381,0.626373318697662,1,42,0.069434,12
bapd,13,0,0,0.355481870033107,0.0696386462002835,0.51,53,0.256885,12
seed,13,0,0,0.732731312958867,0.290169311883342,0.967,41,0.050634,12
gpbi,13,4,2000,1,1,1,12,1.273944,12
nbc2,14,0,0,0.867068275748387,0.736490111812938,1,42,0.068627,12
bapd,14,0,0,0.365003633520901,0.060621750649184,0.516,63,0.292554,12
seed,14,0,0,0.741355173686893,0.314332651005651,0.967,39,0.050684,12
gpbi,14,4,2000,1,1,1,12,1.272754,12
nbc2,15,0,0,0.86380926046164,0.714078218541078,1,43,0.068883,12
bapd,15,0,0,0.363635637735453,0.065556375192146,0.519,64,0.325499,12
seed,15,0,0,0.746772887835259,0.331448691383559,0.968,38,0.050496,12
gpbi,15,4,2000,1,1,1,12,1.273738,12
nbc2,16,0,0,0.859726579984627,0.724711710454997,1,49,0.068343,12
bapd,16,0,0,0.364288294764825,0.073294999629875,0.521,62,0.32149,12
seed,16,0,0,0.755301558561728,0.355796728512136,0.971,36,0.049554,12
gpbi,16,4,2000,1,1,1,12,1.278172,12
nbc2,17,0,0,0.869661301208704,0.771684853202284,1,52,0.069164,12
bapd,17,0,0,0.364759519803728,0.0879909088659988,0.504,61,0.334189,12
seed,17,0,0,0.760221832350984,0.371433129210081,0.973,34,0.049367,12
gpbi,17,4,2000,1,1,1,12,1.280143,12
nbc2,18,0,0,0.8817866504983,0.792970763978991,1,44,0.067955,12
bapd,18,0,0,0.370454388789667,0.0799581547816738,0.537,71,0.40987,12
